"kommune" "tjenester" "kgprosent"
"348" "Sørfold" 1.3 27.1
"349" "Sørreisa" 0.8 16.5
"350" "Sortland" 0.9 9.4
"351" "Sørum" 0.5 7.1
"352" "Spydeberg" 1.1 16
"353" "Stange" 0.7 12.8
"354" "Stavanger" 0.9 11.5
"355" "Steigen" 1.4 26.7
"356" "Steinkjer" NA NA
"357" "Stjørdal" 0.9 9.5
"358" "Stokke" 0.8 13.4
"359" "Stor-Elvdal" 0.9 26.7
"360" "Stord" 1.1 8.1
"361" "Stordal" 1.4 31.6
"362" "Strand" 1.6 10.2
"363" "Stranda" 1.3 25.4
"364" "Stryn" 1.7 24.6
"365" "Sula" 0.8 11.3
"366" "Suldal" 2.1 32.6
"367" "Sund" 0.8 15.6
"368" "Sunndal" 1.2 16.5
"369" "Surnadal" 1.3 20.6
"370" "Sveio" 1.6 18
"371" "Svelvik" 0.6 10.3
"372" "Sykkylven" 1.9 13.1
"373" "Time" 1.3 10.3
"374" "Tingvoll" 1.2 19.1
"375" "Tinn" 1.1 22.5
"376" "Tjeldsund" 1.3 36.7
"377" "Tjøme" 1 15.7
"378" "Tokke" 1.2 36
"379" "Tolga" 1.6 29.6
"380" "Tønsberg" 0.9 8.8
"381" "Torsken" NA NA
"382" "Træna" NA NA
"383" "Tranøy" 1.6 42.7
"384" "Trøgstad" 1.1 12.9
"385" "Tromsø" 0.8 8.5
"386" "Trondheim" 0.7 11.2
"387" "Trysil" 1.2 21.2
"388" "Tvedestrand" 1.6 20.3
"389" "Tydal" 1 32.4
"390" "Tynset" 0.9 12
"391" "Tysnes" 2.1 26.2
"392" "Tysvær" 1.9 17
"393" "Ullensaker" 0.7 8.2
"394" "Ullensvang" 1.3 24.3
"395" "Ulstein" 1.7 9.6
"396" "Ulvik" 1.9 35.2
"397" "Unjárga Nesseby" 0.9 30
"398" "Utsira" 2.6 43.7
"399" "Vadsø" 0.7 12.8
"400" "Værøy" 1.9 44.9
"401" "Vågå" 0.7 17.1
"402" "Vågan" 1.1 17
"403" "Vågsøy" 1.3 14.8
"404" "Vaksdal" 1.1 27.6
"405" "Våler (Hedm.)" 0.8 16.6
"406" "Våler (Østf.)" 0.8 14.1
"407" "Valle" 1.4 28
"408" "Vang" 2.1 37.1
"409" "Vanylven" 1.8 32.2
"410" "Vardø" 0.9 21.1
"411" "Vefsn" 0.7 7.3
"412" "Vega" 2.4 39.2
"413" "Vegårshei" 1.6 25.8
"414" "Vennesla" 1 10.9
"415" "Verdal" 0.6 10.6
"416" "Verran" 1.1 18.8
"417" "Vestby" 0.7 8
"418" "Vestnes" 0.9 15.4
"419" "Vestre Slidre" 1.2 27.5
"420" "Vestre Toten" 0.9 11.3
"421" "Vestvågøy" 1.2 16.2
"422" "Vevelstad" 1.9 70.6
"423" "Vik" 1.7 38.1
"424" "Vikna" 1 10.3
"425" "Vindafjord" 1.8 23
"426" "Vinje" 1.2 29
"427" "Volda" 1.5 17.6
"428" "Voss" 1.2 12.7
